Scripture Reference,Liturgical Usage
1 Cor 14:1-19,"Office of Readings, Year I: Ordinary Time, Week 7, Saturday"
1 Cor 14:20-40,"Office of Readings, Year I: Ordinary Time, Week 8, Sunday"
1 Cor 15:1-19,"Office of Readings, Year I: Ordinary Time, Week 8, Monday"
1 Cor 15:20-34,"Office of Readings, Year I: Ordinary Time, Week 8, Tuesday"
1 Cor 15:35-58,"Office of Readings, Year I: Ordinary Time, Week 8, Wednesday"
1 Cor 16:1-24,"Office of Readings, Year I: Ordinary Time, Week 8, Thursday"
Jas 1:1-18,"Office of Readings, Year I: Ordinary Time, Week 8, Friday"
Jas 1:19-27,"Office of Readings, Year I: Ordinary Time, Week 8, Saturday"
Jas 2:1-13,"Office of Readings, Year I: Ordinary Time, Week 9, Sunday"
Jas 2:14-26,"Office of Readings, Year I: Ordinary Time, Week 9, Monday"
Jas 3:1-12,"Office of Readings, Year I: Ordinary Time, Week 9, Tuesday"
Jas 3:13-18,"Office of Readings, Year I: Ordinary Time, Week 9, Wednesday"
Jas 4:1-12,"Office of Readings, Year I: Ordinary Time, Week 9, Thursday"
Jas 4:13-5:11,"Office of Readings, Year I: Ordinary Time, Week 9, Friday"
Jas 5:12-20,"Office of Readings, Year I: Ordinary Time, Week 9, Saturday"
Sir 46:1-12,"Office of Readings, Year I: Ordinary Time, Week 10, Sunday"
Josh 1:1-18,"Office of Readings, Year I: Ordinary Time, Week 10, Monday"
Josh 2:1-24,"Office of Readings, Year I: Ordinary Time, Week 10, Tuesday"
"Josh 3:1-17, 4:14-19, 5:10-12","Office of Readings, Year I: Ordinary Time, Week 10, Wednesday"
Josh 5:13-6:21,"Office of Readings, Year I: Ordinary Time, Week 10, Thursday"
Josh 7:4-26,"Office of Readings, Year I: Ordinary Time, Week 10, Friday"
"Josh 10:1-14, 11:15-17","Office of Readings, Year I: Ordinary Time, Week 10, Saturday"
"Josh 24:1-7, 13-28","Office of Readings, Year I: Ordinary Time, Week 11, Sunday"
Judg 2:6-3:4,"Office of Readings, Year I: Ordinary Time, Week 11, Monday"
Judg 4:1-24,"Office of Readings, Year I: Ordinary Time, Week 11, Tuesday"
"Judg 6:1-6, 11-24a","Office of Readings, Year I: Ordinary Time, Week 11, Wednesday"
"Judg 6:33-35, 7:1-8, 16-22","Office of Readings, Year I: Ordinary Time, Week 11, Thursday"
"Judg 8:22-23, 30-32, 9:1-15, 19-20","Office of Readings, Year I: Ordinary Time, Week 11, Friday"
"Judg 11:1-9, 29-40","Office of Readings, Year I: Ordinary Time, Week 11, Saturday"
Judg 13:1-25,"Office of Readings, Year I: Ordinary Time, Week 12, Sunday"
"Judg 16:4-6, 16-31","Office of Readings, Year I: Ordinary Time, Week 12, Monday"
1 Sam 1:1-19,"Office of Readings, Year I: Ordinary Time, Week 12, Tuesday"
"1 Sam 1:20-28, 2:11-21","Office of Readings, Year I: Ordinary Time, Week 12, Wednesday"
1 Sam 2:22-36,"Office of Readings, Year I: Ordinary Time, Week 12, Thursday"
1 Sam 3:1-21,"Office of Readings, Year I: Ordinary Time, Week 12, Friday"
1 Sam 4:1-18,"Office of Readings, Year I: Ordinary Time, Week 12, Saturday"
"1 Sam 5:1-6, 6:1-5a, 10-12, 19-21, 7:1","Office of Readings, Year I: Ordinary Time, Week 13, Sunday"
1 Sam 7:15-8:22,"Office of Readings, Year I: Ordinary Time, Week 13, Monday"
"1 Sam 9:1-6, 9:14-10:1","Office of Readings, Year I: Ordinary Time, Week 13, Tuesday"
1 Sam 11:1-15,"Office of Readings, Year I: Ordinary Time, Week 13, Wednesday"
1 Sam 12:1-25,"Office of Readings, Year I: Ordinary Time, Week 13, Thursday"
1 Sam 15:1-23,"Office of Readings, Year I: Ordinary Time, Week 13, Friday"
1 Sam 16:1-13,"Office of Readings, Year I: Ordinary Time, Week 13, Saturday"
"1 Sam 17:1-10, 23b-26, 40-51","Office of Readings, Year I: Ordinary Time, Week 14, Sunday"
"1 Sam 17:57-18:9, 20-30","Office of Readings, Year I: Ordinary Time, Week 14, Monday"
"1 Sam 19:8-10, 20:1-17","Office of Readings, Year I: Ordinary Time, Week 14, Tuesday"
"1 Sam 21:1-10, 22:1-5","Office of Readings, Year I: Ordinary Time, Week 14, Wednesday"
"1 Sam 25:14-24, 28-39","Office of Readings, Year I: Ordinary Time, Week 14, Thursday"
1 Sam 26:5-25,"Office of Readings, Year I: Ordinary Time, Week 14, Friday"
1 Sam 28:3-25,"Office of Readings, Year I: Ordinary Time, Week 14, Saturday"
"1 Sam 31:1-4, 2","Office of Readings, Year I: Ordinary Time, Week 15, Sunday"
"2 Sam 2:1-11, 3:1-5","Office of Readings, Year I: Ordinary Time, Week 15, Monday"
2 Sam 4:2-5:7,"Office of Readings, Year I: Ordinary Time, Week 15, Tuesday"
2 Sam 6:1-23,"Office of Readings, Year I: Ordinary Time, Week 15, Wednesday"
2 Sam 7:1-25,"Office of Readings, Year I: Ordinary Time, Week 15, Thursday"
"2 Sam 11:1-17, 26-27","Office of Readings, Year I: Ordinary Time, Week 15, Friday"
2 Sam 12:1-25,"Office of Readings, Year I: Ordinary Time, Week 15, Saturday"
"2 Sam 15:7-14, 24-30, 16:5-13","Office of Readings, Year I: Ordinary Time, Week 16, Sunday"
"2 Sam 18:6-17, 18:24-19:5","Office of Readings, Year I: Ordinary Time, Week 16, Monday"
"2 Sam 24:1-4, 10-18, 24b-25","Office of Readings, Year I: Ordinary Time, Week 16, Tuesday"
1 Chr 22:5-19,"Office of Readings, Year I: Ordinary Time, Week 16, Wednesday"
"1 Kgs 1:11-35, 2:10-12","Office of Readings, Year I: Ordinary Time, Week 16, Thursday"
1 Kgs 3:5-28,"Office of Readings, Year I: Ordinary Time, Week 16, Friday"
1 Kgs 8:1-21,"Office of Readings, Year I: Ordinary Time, Week 16, Saturday"
"1 Kgs 8:22-34, 54-61","Office of Readings, Year I: Ordinary Time, Week 17, Sunday"
1 Kgs 10:1-13,"Office of Readings, Year I: Ordinary Time, Week 17, Monday"
"1 Kgs 11:1-4, 26-43","Office of Readings, Year I: Ordinary Time, Week 17, Tuesday"
1 Kgs 12:1-19,"Office of Readings, Year I: Ordinary Time, Week 17, Wednesday"
1 Kgs 12:20-33,"Office of Readings, Year I: Ordinary Time, Week 17, Thursday"
1 Kgs 16:29-17:16,"Office of Readings, Year I: Ordinary Time, Week 17, Friday"
1 Kgs 18:16b-40,"Office of Readings, Year I: Ordinary Time, Week 17, Saturday"
"1 Kgs 19:1-9a, 11-21","Office of Readings, Year I: Ordinary Time, Week 18, Sunday"
"1 Kgs 21:1-21, 27-29","Office of Readings, Year I: Ordinary Time, Week 18, Monday"
"1 Kgs 22:1-9, 15-23, 29, 34-38","Office of Readings, Year I: Ordinary Time, Week 18, Tuesday"
"2 Chr 20:1-9, 13-24","Office of Readings, Year I: Ordinary Time, Week 18, Wednesday"
2 Kgs 2:1-15,"Office of Readings, Year I: Ordinary Time, Week 18, Thursday"
2 Kgs 3:5-27,"Office of Readings, Year I: Ordinary Time, Week 18, Friday"
2 Kgs 4:8-37,"Office of Readings, Year I: Ordinary Time, Week 18, Saturday"
"2 Kgs 4:38-44, 6:1-7","Office of Readings, Year I: Ordinary Time, Week 19, Sunday"
2 Kgs 5:1-19,"Office of Readings, Year I: Ordinary Time, Week 19, Monday"
2 Kgs 6:8-23,"Office of Readings, Year I: Ordinary Time, Week 19, Tuesday"
"2 Kgs 6:24-25, 6:32-7:16","Office of Readings, Year I: Ordinary Time, Week 19, Wednesday"
"2 Kgs 9:1-16, 22-27","Office of Readings, Year I: Ordinary Time, Week 19, Thursday"
2 Kgs 11:1-12:1,"Office of Readings, Year I: Ordinary Time, Week 19, Friday"
2 Kgs 13:10-25,"Office of Readings, Year I: Ordinary Time, Week 19, Saturday"
Eph 1:1-14,"Office of Readings, Year I: Ordinary Time, Week 20, Sunday"
Eph 1:15-23,"Office of Readings, Year I: Ordinary Time, Week 20, Monday"
Eph 2:1-10,"Office of Readings, Year I: Ordinary Time, Week 20, Tuesday"
Eph 2:11-22,"Office of Readings, Year I: Ordinary Time, Week 20, Wednesday"
Eph 3:1-13,"Office of Readings, Year I: Ordinary Time, Week 20, Thursday"
Eph 3:14-21,"Office of Readings, Year I: Ordinary Time, Week 20, Friday"
Eph 4:1-16,"Office of Readings, Year I: Ordinary Time, Week 20, Saturday"
Eph 4:17-24,"Office of Readings, Year I: Ordinary Time, Week 21, Sunday"
Eph 5:22-33,"Office of Readings, Year I: Ordinary Time, Week 21, Wednesday"
Eph 6:1-9,"Office of Readings, Year I: Ordinary Time, Week 21, Thursday"
Eph 6:10-24,"Office of Readings, Year I: Ordinary Time, Week 21, Friday"
Phlm 1:1-25,"Office of Readings, Year I: Ordinary Time, Week 21, Saturday"
2 Kgs 14:1-27,"Office of Readings, Year I: Ordinary Time, Week 22, Sunday"
Amos 1:1-2:3,"Office of Readings, Year I: Ordinary Time, Week 22, Monday"
Amos 2:4-16,"Office of Readings, Year I: Ordinary Time, Week 22, Tuesday"
Amos 3:1-15,"Office of Readings, Year I: Ordinary Time, Week 22, Wednesday"
Amos 4:1-13,"Office of Readings, Year I: Ordinary Time, Week 22, Thursday"
Amos 5:1-17,"Office of Readings, Year I: Ordinary Time, Week 22, Friday"
Amos 5:18-6:14,"Office of Readings, Year I: Ordinary Time, Week 22, Saturday"
Amos 7:1-17,"Office of Readings, Year I: Ordinary Time, Week 23, Sunday"
Amos 8:1-14,"Office of Readings, Year I: Ordinary Time, Week 23, Monday"
Amos 9:1-15,"Office of Readings, Year I: Ordinary Time, Week 23, Tuesday"
"Hos 1:1-9, 3:1-5","Office of Readings, Year I: Ordinary Time, Week 23, Wednesday"
Hos 2:4-26,"Office of Readings, Year I: Ordinary Time, Week 23, Thursday"
"Hos 4:1-10, 5:1-7","Office of Readings, Year I: Ordinary Time, Week 23, Friday"
Hos 5:15b-7:2,"Office of Readings, Year I: Ordinary Time, Week 23, Saturday"
Hos 8:1-14,"Office of Readings, Year I: Ordinary Time, Week 24, Sunday"
Hos 9:1-14,"Office of Readings, Year I: Ordinary Time, Week 24, Monday"
Hos 10:1-15,"Office of Readings, Year I: Ordinary Time, Week 24, Tuesday"
Hos 11:1-11,"Office of Readings, Year I: Ordinary Time, Week 24, Wednesday"
Hos 13:1-14:1,"Office of Readings, Year I: Ordinary Time, Week 24, Thursday"
Hos 14:2-10,"Office of Readings, Year I: Ordinary Time, Week 24, Friday"
"2 Kgs 15:1-5, 32-35, 16:1-8","Office of Readings, Year I: Ordinary Time, Week 24, Saturday"
Isa 6:1-13,"Office of Readings, Year I: Ordinary Time, Week 25, Sunday"
Isa 3:1-15,"Office of Readings, Year I: Ordinary Time, Week 25, Monday"
"Isa 5:8-13, 17-24","Office of Readings, Year I: Ordinary Time, Week 25, Tuesday"
Isa 7:1-17,"Office of Readings, Year I: Ordinary Time, Week 25, Wednesday"
Isa 9:7-10:4,"Office of Readings, Year I: Ordinary Time, Week 25, Thursday"
"Isa 28:1-6, 14-22","Office of Readings, Year I: Ordinary Time, Week 25, Friday"
"Mic 1:1-9, 2:1-11","Office of Readings, Year I: Ordinary Time, Week 25, Saturday"
Mic 3:1-12,"Office of Readings, Year I: Ordinary Time, Week 26, Sunday"
Mic 6:1-15,"Office of Readings, Year I: Ordinary Time, Week 26, Monday"
2 Kgs 17:1-18,"Office of Readings, Year I: Ordinary Time, Week 26, Tuesday"
2 Kgs 17:24-41,"Office of Readings, Year I: Ordinary Time, Week 26, Wednesday"
"2 Chr 29:1-2, 30:1-16a","Office of Readings, Year I: Ordinary Time, Week 26, Thursday"
Isa 20:1-6,"Office of Readings, Year I: Ordinary Time, Week 26, Friday"
2 Kgs 20:1-19,"Office of Readings, Year I: Ordinary Time, Week 26, Saturday"
Isa 22:1-14,"Office of Readings, Year I: Ordinary Time, Week 27, Sunday"
Isa 30:1-18,"Office of Readings, Year I: Ordinary Time, Week 27, Monday"
2 Kgs 18:17-36,"Office of Readings, Year I: Ordinary Time, Week 27, Tuesday"
"2 Kgs 18:37-19:19, 35-37","Office of Readings, Year I: Ordinary Time, Week 27, Wednesday"
Isa 37:21-35,"Office of Readings, Year I: Ordinary Time, Week 27, Thursday"
"2 Kgs 21:1-18, 21:23-22:1a","Office of Readings, Year I: Ordinary Time, Week 27, Friday"
"Zeph 1:1-7, 1:14-2:3","Office of Readings, Year I: Ordinary Time, Week 27, Saturday"
Zeph 3:8-20,"Office of Readings, Year I: Ordinary Time, Week 28, Sunday"
Jer 1:1-19,"Office of Readings, Year I: Ordinary Time, Week 28, Monday"
"Jer 2:1-13, 20-25","Office of Readings, Year I: Ordinary Time, Week 28, Tuesday"
"Jer 3:1-5, 3:19-4:4","Office of Readings, Year I: Ordinary Time, Week 28, Wednesday"
"Jer 4:5-8, 13-28","Office of Readings, Year I: Ordinary Time, Week 28, Thursday"
Jer 7:1-20,"Office of Readings, Year I: Ordinary Time, Week 28, Friday"
"Jer 9:1-11, 16-21","Office of Readings, Year I: Ordinary Time, Week 28, Saturday"
"2 Kgs 22:8, 22:10-23:4, 21-23","Office of Readings, Year I: Ordinary Time, Week 29, Sunday"
"Nah 1:1-8, 3:1-7, 12-15a","Office of Readings, Year I: Ordinary Time, Week 29, Monday"
2 Chr 35:20-36:12,"Office of Readings, Year I: Ordinary Time, Week 29, Tuesday"
Hab 1:1-2:4,"Office of Readings, Year I: Ordinary Time, Week 29, Wednesday"
Hab 2:5-20,"Office of Readings, Year I: Ordinary Time, Week 29, Thursday"
Jer 22:10-30,"Office of Readings, Year I: Ordinary Time, Week 29, Friday"
"Jer 19:1-5, 19:10-20:6","Office of Readings, Year I: Ordinary Time, Week 29, Saturday"
"Jer 23:9-17, 21-29","Office of Readings, Year I: Ordinary Time, Week 30, Sunday"
"Jer 25:15-17, 27-38","Office of Readings, Year I: Ordinary Time, Week 30, Monday"
"Jer 36:1-10, 21-32","Office of Readings, Year I: Ordinary Time, Week 30, Tuesday"
Jer 24:1-10,"Office of Readings, Year I: Ordinary Time, Week 30, Wednesday"
Jer 27:1-15,"Office of Readings, Year I: Ordinary Time, Week 30, Thursday"
Jer 28:1-17,"Office of Readings, Year I: Ordinary Time, Week 30, Friday"
Jer 29:1-14,"Office of Readings, Year I: Ordinary Time, Week 30, Saturday"
"2 Kgs 24:20b-25:13, 18-21","Office of Readings, Year I: Ordinary Time, Week 31, Sunday"
"Jer 37:21, 38:14-28","Office of Readings, Year I: Ordinary Time, Week 31, Monday"
"Jer 32:6-10, 16, 24-40","Office of Readings, Year I: Ordinary Time, Week 31, Tuesday"
Jer 30:18-31:9,"Office of Readings, Year I: Ordinary Time, Week 31, Wednesday"
"Jer 31:15-22, 27-34","Office of Readings, Year I: Ordinary Time, Week 31, Thursday"
"Jer 42:1-16, 43:4-7","Office of Readings, Year I: Ordinary Time, Week 31, Friday"
"Ezek 1:3-14, 22-28","Office of Readings, Year I: Ordinary Time, Week 31, Saturday"
"Ezek 2:8-3:11, 16-21","Office of Readings, Year I: Ordinary Time, Week 32, Sunday"
Ezek 5:1-17,"Office of Readings, Year I: Ordinary Time, Week 32, Monday"
"Ezek 8:1-6, 8:16-9:11","Office of Readings, Year I: Ordinary Time, Week 32, Tuesday"
"Ezek 10:18-22, 11:14-25","Office of Readings, Year I: Ordinary Time, Week 32, Wednesday"
Ezek 12:1-16,"Office of Readings, Year I: Ordinary Time, Week 32, Thursday"
Ezek 13:1-16,"Office of Readings, Year I: Ordinary Time, Week 32, Friday"
Ezek 14:12-23,"Office of Readings, Year I: Ordinary Time, Week 32, Saturday"
"Ezek 16:3, 5b-7a, 8-15, 35, 37a, 40-43, 59-63","Office of Readings, Year I: Ordinary Time, Week 33, Sunday"
"Ezek 17:3-15, 19-22","Office of Readings, Year I: Ordinary Time, Week 33, Monday"
"Ezek 18:1-13, 20-32","Office of Readings, Year I: Ordinary Time, Week 33, Tuesday"
Ezek 20:27-44,"Office of Readings, Year I: Ordinary Time, Week 33, Wednesday"
Ezek 24:15-27,"Office of Readings, Year I: Ordinary Time, Week 33, Thursday"
Ezek 28:1-19,"Office of Readings, Year I: Ordinary Time, Week 33, Friday"
"Ezek 34:1-6, 11-16, 23-31","Office of Readings, Year I: Ordinary Time, Week 33, Saturday"
"Rev 1:4-6, 10, 12-18, 2:26, 28, 3:5, 12, 20-21","Office of Readings, Year I: Sunday Solemnity of Our Lord Jesus Christ, King of the Universe"
Ezek 36:16-36,"Office of Readings, Year I: Ordinary Time, Week 34, Monday"
Ezek 37:1-14,"Office of Readings, Year I: Ordinary Time, Week 34, Tuesday"
Ezek 37:15-28,"Office of Readings, Year I: Ordinary Time, Week 34, Wednesday"
Ezek 38:14-39:10,"Office of Readings, Year I: Ordinary Time, Week 34, Thursday"
"Ezek 40:1-4, 43:1-12, 44:6-9","Office of Readings, Year I: Ordinary Time, Week 34, Friday"
Ezek 47:1-12,"Office of Readings, Year I: Ordinary Time, Week 34, Saturday"
Gen 1:1-2:4a,"Office of Readings, Year II: Ordinary Time, Week 1, Monday"
"Gen 2:4b-9, 15-25","Office of Readings, Year II: Ordinary Time, Week 1, Tuesday"
Gen 3:1-24,"Office of Readings, Year II: Ordinary Time, Week 1, Wednesday"
Gen 4:1-24,"Office of Readings, Year II: Ordinary Time, Week 1, Thursday"
"Gen 6:5-22, 7:17-24","Office of Readings, Year II: Ordinary Time, Week 1, Friday"
Gen 8:1-22,"Office of Readings, Year II: Ordinary Time, Week 1, Saturday"
Gen 9:1-17,"Office of Readings, Year II: Ordinary Time, Week 2, Sunday"
Gen 11:1-26,"Office of Readings, Year II: Ordinary Time, Week 2, Monday"
"Gen 12:1-9, 13:2-18","Office of Readings, Year II: Ordinary Time, Week 2, Tuesday"
Gen 14:1-24,"Office of Readings, Year II: Ordinary Time, Week 2, Wednesday"
Gen 15:1-21,"Office of Readings, Year II: Ordinary Time, Week 2, Thursday"
Gen 16:1-16,"Office of Readings, Year II: Ordinary Time, Week 2, Friday"
Gen 17:1-27,"Office of Readings, Year II: Ordinary Time, Week 2, Saturday"
Gen 18:1-33,"Office of Readings, Year II: Ordinary Time, Week 3, Sunday"
"Gen 19:1-17, 23-29","Office of Readings, Year II: Ordinary Time, Week 3, Monday"
Gen 21:1-21,"Office of Readings, Year II: Ordinary Time, Week 3, Tuesday"
Gen 22:1-19,"Office of Readings, Year II: Ordinary Time, Week 3, Wednesday"
Gen 24:1-27,"Office of Readings, Year II: Ordinary Time, Week 3, Thursday"
"Gen 24:32-41, 49-67","Office of Readings, Year II: Ordinary Time, Week 3, Friday"
"Gen 25:7-11, 19-34","Office of Readings, Year II: Ordinary Time, Week 3, Saturday"
Gen 27:1-29,"Office of Readings, Year II: Ordinary Time, Week 4, Sunday"
Gen 27:30-45,"Office of Readings, Year II: Ordinary Time, Week 4, Monday"
Gen 28:10-29:14,"Office of Readings, Year II: Ordinary Time, Week 4, Tuesday"
Gen 31:1-18,"Office of Readings, Year II: Ordinary Time, Week 4, Wednesday"
Gen 32:3-30,"Office of Readings, Year II: Ordinary Time, Week 4, Thursday"
Gen 35:1-29,"Office of Readings, Year II: Ordinary Time, Week 4, Friday"
"Gen 37:2-4, 12-36","Office of Readings, Year II: Ordinary Time, Week 4, Saturday"
Gen 39:1-23,"Office of Readings, Year II: Ordinary Time, Week 5, Sunday"
"Gen 41:1-17a, 25-43","Office of Readings, Year II: Ordinary Time, Week 5, Monday"
Gen 41:56-42:26,"Office of Readings, Year II: Ordinary Time, Week 5, Tuesday"
"Gen 43:1-11, 13-17, 26-34","Office of Readings, Year II: Ordinary Time, Week 5, Wednesday"
"Gen 44:1-20, 30-34","Office of Readings, Year II: Ordinary Time, Week 5, Thursday"
"Gen 45:1-15, 45:21-46:7","Office of Readings, Year II: Ordinary Time, Week 5, Friday"
Gen 49:1-32,"Office of Readings, Year II: Ordinary Time, Week 5, Saturday"
1 Thess 1:1-2:12,"Office of Readings, Year II: Ordinary Time, Week 6, Sunday"
1 Thess 2:13-3:13,"Office of Readings, Year II: Ordinary Time, Week 6, Monday"
1 Thess 4:1-18,"Office of Readings, Year II: Ordinary Time, Week 6, Tuesday"
1 Thess 5:1-28,"Office of Readings, Year II: Ordinary Time, Week 6, Wednesday"
2 Thess 1:1-12,"Office of Readings, Year II: Ordinary Time, Week 6, Thursday"
2 Thess 2:1-17,"Office of Readings, Year II: Ordinary Time, Week 6, Friday"
2 Thess 3:1-18,"Office of Readings, Year II: Ordinary Time, Week 6, Saturday"
2 Cor 1:1-14,"Office of Readings, Year II: Ordinary Time, Week 7, Sunday"
2 Cor 1:15-2:11,"Office of Readings, Year II: Ordinary Time, Week 7, Monday"
2 Cor 2:12-3:6,"Office of Readings, Year II: Ordinary Time, Week 7, Tuesday"
2 Cor 3:7-4:4,"Office of Readings, Year II: Ordinary Time, Week 7, Wednesday"
2 Cor 4:5-18,"Office of Readings, Year II: Ordinary Time, Week 7, Thursday"
2 Cor 5:1-21,"Office of Readings, Year II: Ordinary Time, Week 7, Friday"
2 Cor 6:1-7:1,"Office of Readings, Year II: Ordinary Time, Week 7, Saturday"
2 Cor 7:2-16,"Office of Readings, Year II: Ordinary Time, Week 8, Sunday"
2 Cor 8:1-24,"Office of Readings, Year II: Ordinary Time, Week 8, Monday"
2 Cor 9:1-15,"Office of Readings, Year II: Ordinary Time, Week 8, Tuesday"
2 Cor 10:1-11:6,"Office of Readings, Year II: Ordinary Time, Week 8, Wednesday"
2 Cor 11:7-29,"Office of Readings, Year II: Ordinary Time, Week 8, Thursday"
2 Cor 11:30-12:13,"Office of Readings, Year II: Ordinary Time, Week 8, Friday"
2 Cor 12:14-13:13,"Office of Readings, Year II: Ordinary Time, Week 8, Saturday"
Gal 1:1-12,"Office of Readings, Year II: Ordinary Time, Week 9, Sunday"
Gal 1:13-2:10,"Office of Readings, Year II: Ordinary Time, Week 9, Monday"
Gal 2:11-3:14,"Office of Readings, Year II: Ordinary Time, Week 9, Tuesday"
Gal 3:15-4:7,"Office of Readings, Year II: Ordinary Time, Week 9, Wednesday"
Gal 4:8-31,"Office of Readings, Year II: Ordinary Time, Week 9, Thursday"
Gal 5:1-25,"Office of Readings, Year II: Ordinary Time, Week 9, Friday"
Gal 5:25-6:18,"Office of Readings, Year II: Ordinary Time, Week 9, Saturday"
Phil 1:1-11,"Office of Readings, Year II: Ordinary Time, Week 10, Sunday"
Phil 1:12-26,"Office of Readings, Year II: Ordinary Time, Week 10, Monday"
Phil 1:27-2:11,"Office of Readings, Year II: Ordinary Time, Week 10, Tuesday"
Phil 3:1-16,"Office of Readings, Year II: Ordinary Time, Week 10, Thursday"
Phil 4:10-23,"Office of Readings, Year II: Ordinary Time, Week 10, Saturday"
Isa 44:21-45:3,"Office of Readings, Year II: Ordinary Time, Week 11, Sunday"
"Ezr 1:1-8, 2:68-3:8","Office of Readings, Year II: Ordinary Time, Week 11, Monday"
"Ezr 4:1-5, 4:24-5:5","Office of Readings, Year II: Ordinary Time, Week 11, Tuesday"
Hag 1:1-2:9,"Office of Readings, Year II: Ordinary Time, Week 11, Wednesday"
Hag 2:10-23,"Office of Readings, Year II: Ordinary Time, Week 11, Thursday"
Zech 1:1-2:4,"Office of Readings, Year II: Ordinary Time, Week 11, Friday"
Zech 2:5-17,"Office of Readings, Year II: Ordinary Time, Week 11, Saturday"
Zech 3:1-4:14,"Office of Readings, Year II: Ordinary Time, Week 12, Sunday"
"Zech 8:1-17, 20-23","Office of Readings, Year II: Ordinary Time, Week 12, Monday"
"Ezr 6:1-5, 14-22","Office of Readings, Year II: Ordinary Time, Week 12, Tuesday"
Ezr 7:6-28,"Office of Readings, Year II: Ordinary Time, Week 12, Wednesday"
"Ezr 9:1-9, 9:15-10:5","Office of Readings, Year II: Ordinary Time, Week 12, Thursday"
Neh 1:1-2:8,"Office of Readings, Year II: Ordinary Time, Week 12, Friday"
Neh 2:9-20,"Office of Readings, Year II: Ordinary Time, Week 12, Saturday"
Neh 4:1-17,"Office of Readings, Year II: Ordinary Time, Week 13, Sunday"
Neh 5:1-19,"Office of Readings, Year II: Ordinary Time, Week 13, Monday"
Neh 7:72b-8:18,"Office of Readings, Year II: Ordinary Time, Week 13, Tuesday"
"Neh 9:1-2, 5-21","Office of Readings, Year II: Ordinary Time, Week 13, Wednesday"
Neh 9:22-37,"Office of Readings, Year II: Ordinary Time, Week 13, Thursday"
Neh 12:27-47,"Office of Readings, Year II: Ordinary Time, Week 13, Friday"
Isa 59:1-14,"Office of Readings, Year II: Ordinary Time, Week 13, Saturday"
"Prov 1:1-7, 20-33","Office of Readings, Year II: Ordinary Time, Week 14, Sunday"
Prov 3:1-20,"Office of Readings, Year II: Ordinary Time, Week 14, Monday"
"Prov 8:1-5, 12-36","Office of Readings, Year II: Ordinary Time, Week 14, Tuesday"
Prov 9:1-18,"Office of Readings, Year II: Ordinary Time, Week 14, Wednesday"
Prov 10:6-32,"Office of Readings, Year II: Ordinary Time, Week 14, Thursday"
"Prov 15:8-9, 16-17, 25-26, 29, 33, 16:1-9, 17, ","Office of Readings, Year II: Ordinary Time, Week 14, Friday"
Prov 31:10-31,"Office of Readings, Year II: Ordinary Time, Week 14, Saturday"
Job 1:1-22,"Office of Readings, Year II: Ordinary Time, Week 15, Sunday"
Job 2:1-13,"Office of Readings, Year II: Ordinary Time, Week 15, Monday"
Job 3:1-26,"Office of Readings, Year II: Ordinary Time, Week 15, Tuesday"
Job 4:1-21,"Office of Readings, Year II: Ordinary Time, Week 15, Wednesday"
Job 6:1-30,"Office of Readings, Year II: Ordinary Time, Week 15, Friday"
Job 7:1-21,"Office of Readings, Year II: Ordinary Time, Week 15, Saturday"
Job 11:1-20,"Office of Readings, Year II: Ordinary Time, Week 16, Sunday"
Job 12:1-25,"Office of Readings, Year II: Ordinary Time, Week 16, Monday"
Job 13:13-14:6,"Office of Readings, Year II: Ordinary Time, Week 16, Tuesday"
Job 18:1-21,"Office of Readings, Year II: Ordinary Time, Week 16, Wednesday"
Job 19:1-29,"Office of Readings, Year II: Ordinary Time, Week 16, Thursday"
Job 22:1-30,"Office of Readings, Year II: Ordinary Time, Week 16, Friday"
Job 23:1-24:12,"Office of Readings, Year II: Ordinary Time, Week 16, Saturday"
Job 28:1-28,"Office of Readings, Year II: Ordinary Time, Week 17, Sunday"
"Job 29:1-10, 30:1, 9-23","Office of Readings, Year II: Ordinary Time, Week 17, Monday"
"Job 31:1-8, 13-23, 35-37","Office of Readings, Year II: Ordinary Time, Week 17, Tuesday"
"Job 32:1-6, 33:1-22","Office of Readings, Year II: Ordinary Time, Week 17, Wednesday"
"Job 38:1-30, 40:1-5","Office of Readings, Year II: Ordinary Time, Week 17, Thursday"
"Job 40:6-24, 42:1-6","Office of Readings, Year II: Ordinary Time, Week 17, Friday"
Job 42:7-16,"Office of Readings, Year II: Ordinary Time, Week 17, Saturday"
Ob 1:1-21,"Office of Readings, Year II: Ordinary Time, Week 18, Sunday"
"Joel 1:1, 1:13-2:11","Office of Readings, Year II: Ordinary Time, Week 18, Monday"
Joel 2:12-27,"Office of Readings, Year II: Ordinary Time, Week 18, Tuesday"
Joel 3:1-4:8,"Office of Readings, Year II: Ordinary Time, Week 18, Wednesday"
Joel 4:9-21,"Office of Readings, Year II: Ordinary Time, Week 18, Thursday"
"Mal 1:1-14, 2:13-16","Office of Readings, Year II: Ordinary Time, Week 18, Friday"
Mal 3:1-24,"Office of Readings, Year II: Ordinary Time, Week 18, Saturday"
"Jonah 1:1-2:1-2, 11","Office of Readings, Year II: Ordinary Time, Week 19, Sunday"
Jonah 3:1-4:11,"Office of Readings, Year II: Ordinary Time, Week 19, Monday"
Zech 9:1-10:2,"Office of Readings, Year II: Ordinary Time, Week 19, Tuesday"
