Scripture Reference,Liturgical Usage
Isa 49:1-9,"Office of Readings, Year II: Jan. 6, Christmas"
Isa 54:1-17,"Office of Readings, Year II: Jan. 7, Christmas"
Isa 60:1-22,"Office of Readings, Year II: Jan. 6, Sunday a die 2 ad day 8 January occurring In Epipha- nia Domini"
Isa 54:1-17,"Office of Readings, Year II: 7 January or Monday after Epiphany"
Isa 55:1-13,"Office of Readings, Year II: 8 January or Tuesday after Epiphany"
Isa 56:1-8,"Office of Readings, Year II: 9 January or Wednesday after Epiphany"
Isa 59:15-21,"Office of Readings, Year II: 10 January or Thursday after Epiphany"
"Isa 42:1-9, 49:1-9","Office of Readings, Year II: Sunday after day 6 January occurrentem On the Baptism of the Lord"
Isa 58:1-12,"Office of Readings, Year I: Ash Wednesday"
Deut 6:4-25,"Office of Readings, Year I: Lent, Week 1, Sunday"
"Deut 7:6-14, 8:1-6","Office of Readings, Year I: Lent, Week 1, Monday"
"Deut 9:7-21, 25-29","Office of Readings, Year I: Lent, Week 1, Tuesday"
"Deut 10:12-11:9, 26-28","Office of Readings, Year I: Lent, Week 1, Wednesday"
Deut 12:1-14,"Office of Readings, Year I: Lent, Week 1, Thursday"
Deut 15:1-18,"Office of Readings, Year I: Lent, Week 1, Friday"
Deut 16:1-17,"Office of Readings, Year I: Lent, Week 1, Saturday"
Deut 18:1-22,"Office of Readings, Year I: Lent, Week 2, Sunday"
Deut 24:1-25:4,"Office of Readings, Year I: Lent, Week 2, Monday"
Deut 26:1-19,"Office of Readings, Year I: Lent, Week 2, Tuesday"
Deut 30:1-20,"Office of Readings, Year I: Lent, Week 2, Thursday"
"Deut 32:48-52, 34:1-12","Office of Readings, Year I: Lent, Week 2, Saturday"
Heb 1:1-2:4,"Office of Readings, Year I: Lent, Week 3, Sunday"
Heb 2:5-18,"Office of Readings, Year I: Lent, Week 3, Monday"
Heb 3:1-19,"Office of Readings, Year I: Lent, Week 3, Tuesday"
Heb 4:1-13,"Office of Readings, Year I: Lent, Week 3, Wednesday"
Heb 4:14-5:10,"Office of Readings, Year I: Lent, Week 3, Thursday"
Heb 5:11-6:8,"Office of Readings, Year I: Lent, Week 3, Friday"
Heb 6:9-20,"Office of Readings, Year I: Lent, Week 3, Saturday"
Heb 7:1-11,"Office of Readings, Year I: Lent, Week 4, Sunday"
Heb 7:11-28,"Office of Readings, Year I: Lent, Week 4, Monday"
Heb 8:1-13,"Office of Readings, Year I: Lent, Week 4, Tuesday"
Heb 9:1-10,"Office of Readings, Year I: Lent, Week 4, Wednesday"
Heb 9:11-28,"Office of Readings, Year I: Lent, Week 4, Thursday"
Heb 10:1-10,"Office of Readings, Year I: Lent, Week 4, Friday"
